UseLife,UseSD,InitRm,Year,OccRm
 15,  0.0,   23,  200,0
 15,  0.0,   23,  201,23
 15,  0.0,   23,  202,23
 15,  0.0,   23,  203,23
 15,  0.0,   23,  204,23
 15,  0.0,   23,  205,23
 15,  0.0,   23,  206,23
 15,  0.0,   23,  207,23
 15,  0.0,   23,  208,23
 15,  0.0,   23,  209,23
 15,  0.0,   23,  210,23
 15,  0.0,   23,  211,23
 15,  0.0,   23,  212,23
 15,  0.0,   23,  213,23
 15,  0.0,   23,  214,23
 15,  0.0,   23,  215,23
 15,  0.0,   23,  216,23
 15,  0.0,   23,  217,23
 15,  0.0,   23,  218,23
 15,  0.0,   23,  219,23
 15,  0.0,   23,  220,23
 15,  0.0,   23,  221,23
 15,  0.0,   23,  222,23
 15,  0.0,   23,  223,23
 15,  0.0,   23,  224,24
 15,  0.0,   23,  225,24
 15,  0.0,   23,  226,24
 15,  0.0,   23,  227,24
 15,  0.0,   23,  228,24
 15,  0.0,   23,  229,24
 15,  0.0,   23,  230,24
 15,  0.0,   23,  231,24
 15,  0.0,   23,  232,24
 15,  0.0,   23,  233,24
 15,  0.0,   23,  234,24
 15,  0.0,   23,  235,24
 15,  0.0,   23,  236,24
 15,  0.0,   23,  237,24
 15,  0.0,   23,  238,24
 15,  0.0,   23,  239,24
 15,  0.0,   23,  240,24
 15,  0.0,   23,  241,24
 15,  0.0,   23,  242,24
 15,  0.0,   23,  243,24
 15,  0.0,   23,  244,24
 15,  0.0,   23,  245,24
 15,  0.0,   23,  246,24
 15,  0.0,   23,  247,24
 15,  0.0,   23,  248,24
 15,  0.0,   23,  249,24
 15,  0.0,   23,  250,24
 15,  0.0,   23,  251,24
 15,  0.0,   23,  252,24
 15,  0.0,   23,  253,24
 15,  0.0,   23,  254,24
 15,  0.0,   23,  255,24
 15,  0.0,   23,  256,24
 15,  0.0,   23,  257,24
 15,  0.0,   23,  258,24
 15,  0.0,   23,  259,24
 15,  0.0,   23,  260,24
 15,  0.0,   23,  261,24
 15,  0.0,   23,  262,24
 15,  0.0,   23,  263,24
 15,  0.0,   23,  264,24
 15,  0.0,   23,  265,24
 15,  0.0,   23,  266,24
 15,  0.0,   23,  267,24
 15,  0.0,   23,  268,24
 15,  0.0,   23,  269,25
 15,  0.0,   23,  270,25
 15,  0.0,   23,  271,25
 15,  0.0,   23,  272,25
 15,  0.0,   23,  273,25
 15,  0.0,   23,  274,25
 15,  0.0,   23,  275,25
 15,  0.0,   23,  276,25
 15,  0.0,   23,  277,25
 15,  0.0,   23,  278,25
 15,  0.0,   23,  279,25
 15,  0.0,   23,  280,25
 15,  0.0,   23,  281,25
 15,  0.0,   23,  282,25
 15,  0.0,   23,  283,25
 15,  0.0,   23,  284,25
 15,  0.0,   23,  285,25
 15,  0.0,   23,  286,25
 15,  0.0,   23,  287,25
 15,  0.0,   23,  288,25
 15,  0.0,   23,  289,25
 15,  0.0,   23,  290,25
 15,  0.0,   23,  291,25
 15,  0.0,   23,  292,25
 15,  0.0,   23,  293,25
 15,  0.0,   23,  294,25
 15,  0.0,   23,  295,25
 15,  0.0,   23,  296,25
 15,  0.0,   23,  297,25
 15,  0.0,   23,  298,25
 15,  0.0,   23,  299,25
 15,  0.0,   23,  300,25
 15,  0.0,   23,  301,25
 15,  0.0,   23,  302,25
 15,  0.0,   23,  303,25
 15,  0.0,   23,  304,25
 15,  0.0,   23,  305,25
 15,  0.0,   23,  306,25
 15,  0.0,   23,  307,25
 15,  0.0,   23,  308,25
 15,  0.0,   23,  309,25
 15,  0.0,   23,  310,25
 15,  0.0,   23,  311,25
 15,  0.0,   23,  312,26
 15,  0.0,   23,  313,26
 15,  0.0,   23,  314,26
 15,  0.0,   23,  315,26
 15,  0.0,   23,  316,26
 15,  0.0,   23,  317,26
 15,  0.0,   23,  318,26
 15,  0.0,   23,  319,26
 15,  0.0,   23,  320,26
 15,  0.0,   23,  321,26
 15,  0.0,   23,  322,26
 15,  0.0,   23,  323,26
 15,  0.0,   23,  324,26
 15,  0.0,   23,  325,26
 15,  0.0,   23,  326,26
 15,  0.0,   23,  327,26
 15,  0.0,   23,  328,26
 15,  0.0,   23,  329,26
 15,  0.0,   23,  330,26
 15,  0.0,   23,  331,26
 15,  0.0,   23,  332,26
 15,  0.0,   23,  333,26
 15,  0.0,   23,  334,26
 15,  0.0,   23,  335,26
 15,  0.0,   23,  336,26
 15,  0.0,   23,  337,26
 15,  0.0,   23,  338,26
 15,  0.0,   23,  339,26
 15,  0.0,   23,  340,26
 15,  0.0,   23,  341,26
 15,  0.0,   23,  342,26
 15,  0.0,   23,  343,26
 15,  0.0,   23,  344,26
 15,  0.0,   23,  345,26
 15,  0.0,   23,  346,26
 15,  0.0,   23,  347,26
 15,  0.0,   23,  348,26
 15,  0.0,   23,  349,26
 15,  0.0,   23,  350,26
 15,  0.0,   23,  351,26
 15,  0.0,   23,  352,26
 15,  0.0,   23,  353,26
 15,  0.0,   23,  354,27
 15,  0.0,   23,  355,27
 15,  0.0,   23,  356,27
 15,  0.0,   23,  357,27
 15,  0.0,   23,  358,27
 15,  0.0,   23,  359,27
 15,  0.0,   23,  360,27
 15,  0.0,   23,  361,27
 15,  0.0,   23,  362,27
 15,  0.0,   23,  363,27
 15,  0.0,   23,  364,27
 15,  0.0,   23,  365,27
 15,  0.0,   23,  366,27
 15,  0.0,   23,  367,27
 15,  0.0,   23,  368,27
 15,  0.0,   23,  369,27
 15,  0.0,   23,  370,27
 15,  0.0,   23,  371,27
 15,  0.0,   23,  372,27
 15,  0.0,   23,  373,27
 15,  0.0,   23,  374,27
 15,  0.0,   23,  375,27
 15,  0.0,   23,  376,27
 15,  0.0,   23,  377,27
 15,  0.0,   23,  378,27
 15,  0.0,   23,  379,27
 15,  0.0,   23,  380,27
 15,  0.0,   23,  381,27
 15,  0.0,   23,  382,27
 15,  0.0,   23,  383,27
 15,  0.0,   23,  384,27
 15,  0.0,   23,  385,27
 15,  0.0,   23,  386,27
 15,  0.0,   23,  387,27
 15,  0.0,   23,  388,27
 15,  0.0,   23,  389,27
 15,  0.0,   23,  390,27
 15,  0.0,   23,  391,27
 15,  0.0,   23,  392,27
 15,  0.0,   23,  393,27
 15,  0.0,   23,  394,28
 15,  0.0,   23,  395,28
 15,  0.0,   23,  396,28
 15,  0.0,   23,  397,28
 15,  0.0,   23,  398,28
 15,  0.0,   23,  399,28
 15,  0.0,   23,  400,28
 15,  0.0,   23,  401,28
 15,  0.0,   23,  402,28
 15,  0.0,   23,  403,28
 15,  0.0,   23,  404,28
 15,  0.0,   23,  405,28
 15,  0.0,   23,  406,28
 15,  0.0,   23,  407,28
 15,  0.0,   23,  408,28
 15,  0.0,   23,  409,28
 15,  0.0,   23,  410,28
 15,  0.0,   23,  411,28
 15,  0.0,   23,  412,28
 15,  0.0,   23,  413,28
 15,  0.0,   23,  414,28
 15,  0.0,   23,  415,28
 15,  0.0,   23,  416,28
 15,  0.0,   23,  417,28
 15,  0.0,   23,  418,28
 15,  0.0,   23,  419,28
 15,  0.0,   23,  420,28
 15,  0.0,   23,  421,28
 15,  0.0,   23,  422,28
 15,  0.0,   23,  423,28
 15,  0.0,   23,  424,28
 15,  0.0,   23,  425,28
 15,  0.0,   23,  426,28
 15,  0.0,   23,  427,28
 15,  0.0,   23,  428,28
 15,  0.0,   23,  429,28
 15,  0.0,   23,  430,28
 15,  0.0,   23,  431,28
 15,  0.0,   23,  432,28
 15,  0.0,   23,  433,29
 15,  0.0,   23,  434,29
 15,  0.0,   23,  435,29
 15,  0.0,   23,  436,29
 15,  0.0,   23,  437,29
 15,  0.0,   23,  438,29
 15,  0.0,   23,  439,29
 15,  0.0,   23,  440,29
 15,  0.0,   23,  441,29
 15,  0.0,   23,  442,29
 15,  0.0,   23,  443,29
 15,  0.0,   23,  444,29
 15,  0.0,   23,  445,29
 15,  0.0,   23,  446,29
 15,  0.0,   23,  447,29
 15,  0.0,   23,  448,29
 15,  0.0,   23,  449,29
 15,  0.0,   23,  450,29
 15,  0.0,   23,  451,29
 15,  0.0,   23,  452,29
 15,  0.0,   23,  453,29
 15,  0.0,   23,  454,29
 15,  0.0,   23,  455,29
 15,  0.0,   23,  456,29
 15,  0.0,   23,  457,29
 15,  0.0,   23,  458,29
 15,  0.0,   23,  459,29
 15,  0.0,   23,  460,29
 15,  0.0,   23,  461,29
 15,  0.0,   23,  462,29
 15,  0.0,   23,  463,29
 15,  0.0,   23,  464,29
 15,  0.0,   23,  465,29
 15,  0.0,   23,  466,29
 15,  0.0,   23,  467,29
 15,  0.0,   23,  468,29
 15,  0.0,   23,  469,29
 15,  0.0,   23,  470,30
 15,  0.0,   23,  471,30
 15,  0.0,   23,  472,30
 15,  0.0,   23,  473,30
 15,  0.0,   23,  474,30
 15,  0.0,   23,  475,30
 15,  0.0,   23,  476,30
 15,  0.0,   23,  477,30
 15,  0.0,   23,  478,30
 15,  0.0,   23,  479,30
 15,  0.0,   23,  480,30
 15,  0.0,   23,  481,30
 15,  0.0,   23,  482,30
 15,  0.0,   23,  483,30
 15,  0.0,   23,  484,30
 15,  0.0,   23,  485,30
 15,  0.0,   23,  486,30
 15,  0.0,   23,  487,30
 15,  0.0,   23,  488,30
 15,  0.0,   23,  489,30
 15,  0.0,   23,  490,30
 15,  0.0,   23,  491,30
 15,  0.0,   23,  492,30
 15,  0.0,   23,  493,30
 15,  0.0,   23,  494,30
 15,  0.0,   23,  495,30
 15,  0.0,   23,  496,30
 15,  0.0,   23,  497,30
 15,  0.0,   23,  498,30
 15,  0.0,   23,  499,30
 15,  0.0,   23,  500,30
 15,  0.0,   23,  501,30
 15,  0.0,   23,  502,30
 15,  0.0,   23,  503,30
 15,  0.0,   23,  504,30
 15,  0.0,   23,  505,30
 15,  0.0,   23,  506,31
 15,  0.0,   23,  507,31
 15,  0.0,   23,  508,31
 15,  0.0,   23,  509,31
 15,  0.0,   23,  510,31
 15,  0.0,   23,  511,31
 15,  0.0,   23,  512,31
 15,  0.0,   23,  513,31
 15,  0.0,   23,  514,31
 15,  0.0,   23,  515,31
 15,  0.0,   23,  516,31
 15,  0.0,   23,  517,31
 15,  0.0,   23,  518,31
 15,  0.0,   23,  519,31
 15,  0.0,   23,  520,31
 15,  0.0,   23,  521,31
 15,  0.0,   23,  522,31
 15,  0.0,   23,  523,31
 15,  0.0,   23,  524,31
 15,  0.0,   23,  525,31
 15,  0.0,   23,  526,31
 15,  0.0,   23,  527,31
 15,  0.0,   23,  528,31
 15,  0.0,   23,  529,31
 15,  0.0,   23,  530,31
 15,  0.0,   23,  531,31
 15,  0.0,   23,  532,31
 15,  0.0,   23,  533,31
 15,  0.0,   23,  534,31
 15,  0.0,   23,  535,31
 15,  0.0,   23,  536,31
 15,  0.0,   23,  537,31
 15,  0.0,   23,  538,31
 15,  0.0,   23,  539,31
 15,  0.0,   23,  540,31
 15,  0.0,   23,  541,32
 15,  0.0,   23,  542,32
 15,  0.0,   23,  543,32
 15,  0.0,   23,  544,32
 15,  0.0,   23,  545,32
 15,  0.0,   23,  546,32
 15,  0.0,   23,  547,32
 15,  0.0,   23,  548,32
 15,  0.0,   23,  549,32
 15,  0.0,   23,  550,32
 15,  0.0,   23,  551,32
 15,  0.0,   23,  552,32
 15,  0.0,   23,  553,32
 15,  0.0,   23,  554,32
 15,  0.0,   23,  555,32
 15,  0.0,   23,  556,32
 15,  0.0,   23,  557,32
 15,  0.0,   23,  558,32
 15,  0.0,   23,  559,32
 15,  0.0,   23,  560,32
 15,  0.0,   23,  561,32
 15,  0.0,   23,  562,32
 15,  0.0,   23,  563,32
 15,  0.0,   23,  564,32
 15,  0.0,   23,  565,32
 15,  0.0,   23,  566,32
 15,  0.0,   23,  567,32
 15,  0.0,   23,  568,32
 15,  0.0,   23,  569,32
 15,  0.0,   23,  570,32
 15,  0.0,   23,  571,32
 15,  0.0,   23,  572,33
 15,  0.0,   23,  573,33
 15,  0.0,   23,  574,33
 15,  0.0,   23,  575,33
 15,  0.0,   23,  576,33
 15,  0.0,   23,  577,33
 15,  0.0,   23,  578,33
 15,  0.0,   23,  579,33
 15,  0.0,   23,  580,33
 15,  0.0,   23,  581,33
 15,  0.0,   23,  582,33
 15,  0.0,   23,  583,33
 15,  0.0,   23,  584,33
 15,  0.0,   23,  585,33
 15,  0.0,   23,  586,33
 15,  0.0,   23,  587,33
 15,  0.0,   23,  588,33
 15,  0.0,   23,  589,33
 15,  0.0,   23,  590,33
 15,  0.0,   23,  591,33
 15,  0.0,   23,  592,33
 15,  0.0,   23,  593,33
 15,  0.0,   23,  594,33
 15,  0.0,   23,  595,33
 15,  0.0,   23,  596,33
 15,  0.0,   23,  597,33
 15,  0.0,   23,  598,33
 15,  0.0,   23,  599,33
 15,  0.0,   23,  600,33
 15,  0.0,   23,  601,34
 15,  0.0,   23,  602,34
 15,  0.0,   23,  603,34
 15,  0.0,   23,  604,34
 15,  0.0,   23,  605,34
 15,  0.0,   23,  606,34
 15,  0.0,   23,  607,34
 15,  0.0,   23,  608,34
 15,  0.0,   23,  609,34
 15,  0.0,   23,  610,34
 15,  0.0,   23,  611,34
 15,  0.0,   23,  612,34
 15,  0.0,   23,  613,34
 15,  0.0,   23,  614,34
 15,  0.0,   23,  615,34
 15,  0.0,   23,  616,34
 15,  0.0,   23,  617,34
 15,  0.0,   23,  618,34
 15,  0.0,   23,  619,34
 15,  0.0,   23,  620,34
 15,  0.0,   23,  621,34
 15,  0.0,   23,  622,34
 15,  0.0,   23,  623,34
 15,  0.0,   23,  624,34
 15,  0.0,   23,  625,34
 15,  0.0,   23,  626,34
 15,  0.0,   23,  627,34
 15,  0.0,   23,  628,34
 15,  0.0,   23,  629,34
 15,  0.0,   23,  630,35
 15,  0.0,   23,  631,35
 15,  0.0,   23,  632,35
 15,  0.0,   23,  633,35
 15,  0.0,   23,  634,35
 15,  0.0,   23,  635,35
 15,  0.0,   23,  636,35
 15,  0.0,   23,  637,35
 15,  0.0,   23,  638,35
 15,  0.0,   23,  639,35
 15,  0.0,   23,  640,35
 15,  0.0,   23,  641,35
 15,  0.0,   23,  642,35
 15,  0.0,   23,  643,35
 15,  0.0,   23,  644,35
 15,  0.0,   23,  645,35
 15,  0.0,   23,  646,35
 15,  0.0,   23,  647,35
 15,  0.0,   23,  648,35
 15,  0.0,   23,  649,35
 15,  0.0,   23,  650,35
 15,  0.0,   23,  651,35
 15,  0.0,   23,  652,35
 15,  0.0,   23,  653,35
 15,  0.0,   23,  654,35
 15,  0.0,   23,  655,35
 15,  0.0,   23,  656,35
 15,  0.0,   23,  657,36
 15,  0.0,   23,  658,36
 15,  0.0,   23,  659,36
 15,  0.0,   23,  660,36
 15,  0.0,   23,  661,36
 15,  0.0,   23,  662,36
 15,  0.0,   23,  663,36
 15,  0.0,   23,  664,36
 15,  0.0,   23,  665,36
 15,  0.0,   23,  666,36
 15,  0.0,   23,  667,36
 15,  0.0,   23,  668,36
 15,  0.0,   23,  669,36
 15,  0.0,   23,  670,36
 15,  0.0,   23,  671,36
 15,  0.0,   23,  672,36
 15,  0.0,   23,  673,36
 15,  0.0,   23,  674,36
 15,  0.0,   23,  675,36
 15,  0.0,   23,  676,36
 15,  0.0,   23,  677,36
 15,  0.0,   23,  678,36
 15,  0.0,   23,  679,36
 15,  0.0,   23,  680,36
 15,  0.0,   23,  681,36
 15,  0.0,   23,  682,36
 15,  0.0,   23,  683,36
 15,  0.0,   23,  684,37
 15,  0.0,   23,  685,37
 15,  0.0,   23,  686,37
 15,  0.0,   23,  687,37
 15,  0.0,   23,  688,37
 15,  0.0,   23,  689,37
 15,  0.0,   23,  690,37
 15,  0.0,   23,  691,37
 15,  0.0,   23,  692,37
 15,  0.0,   23,  693,37
 15,  0.0,   23,  694,37
 15,  0.0,   23,  695,37
 15,  0.0,   23,  696,37
 15,  0.0,   23,  697,37
 15,  0.0,   23,  698,37
 15,  0.0,   23,  699,37
 15,  0.0,   23,  700,37
 15,  0.0,   23,  701,37
 15,  0.0,   23,  702,37
 15,  0.0,   23,  703,37
 15,  0.0,   23,  704,37
 15,  0.0,   23,  705,37
 15,  0.0,   23,  706,37
 15,  0.0,   23,  707,37
 15,  0.0,   23,  708,37
 15,  0.0,   23,  709,37
 15,  0.0,   23,  710,38
 15,  0.0,   23,  711,38
 15,  0.0,   23,  712,38
 15,  0.0,   23,  713,38
 15,  0.0,   23,  714,38
 15,  0.0,   23,  715,38
 15,  0.0,   23,  716,38
 15,  0.0,   23,  717,38
 15,  0.0,   23,  718,38
 15,  0.0,   23,  719,38
 15,  0.0,   23,  720,38
 15,  0.0,   23,  721,38
 15,  0.0,   23,  722,38
 15,  0.0,   23,  723,38
 15,  0.0,   23,  724,38
 15,  0.0,   23,  725,38
 15,  0.0,   23,  726,38
 15,  0.0,   23,  727,38
 15,  0.0,   23,  728,38
 15,  0.0,   23,  729,38
 15,  0.0,   23,  730,38
 15,  0.0,   23,  731,38
 15,  0.0,   23,  732,38
 15,  0.0,   23,  733,38
 15,  0.0,   23,  734,38
 15,  0.0,   23,  735,38
