Approach,Year,Rate
Modeled,900,0.71
Modeled,950,0.71
Modeled,950,0.66
Modeled,1050,0.66
Modeled,1050,-0.27
Modeled,1125,-0.27
Modeled,1125,2.9
Modeled,1175,2.9
Modeled,1175,1.07
Modeled,1225,1.07
Modeled,1225,-0.41
Modeled,1275,-0.41
Compound Interest,925,0.43
Compound Interest,1000,0.43
Compound Interest,1000,0.24
Compound Interest,1087.5,0.24
Compound Interest,1087.5,1.11
Compound Interest,1150,1.11
Compound Interest,1150,1.86
Compound Interest,1200,1.86
Compound Interest,1200,0.74
Compound Interest,1250,0.74
