UseLife,UseSD,InitRm,Period,PerBeg,PerEnd,PerInitRm,PerMidRm,PerEndRm,PerDatedRm,TargRm,Rate
 15,  0.0,    8,1,  900,  950,    8,   10,      13,      38,   38,   0.899
 15,  0.0,    8,2,  950, 1050,   13,   16,      19,     105,  105,   0.440
 15,  0.0,    8,3, 1050, 1125,   19,   19,      19,      97,   97,  -0.002
 15,  0.0,    8,4, 1125, 1175,   19,   36,      68,     129,  129,   2.527
 15,  0.0,    8,5, 1175, 1225,   68,   94,     132,     323,  323,   1.349
 15,  0.0,    8,6, 1225, 1275,  132,  124,     117,     468,  468,  -0.235
 20,  0.0,   10,1,  900,  950,   10,   13,      17,      38,   38,   1.107
 20,  0.0,   10,2,  950, 1050,   17,   21,      25,     105,  105,   0.372
 20,  0.0,   10,3, 1050, 1125,   25,   26,      26,      97,   97,   0.067
 20,  0.0,   10,4, 1125, 1175,   26,   49,      93,     129,  129,   2.538
 20,  0.0,   10,5, 1175, 1225,   93,  126,     171,     323,  323,   1.231
 20,  0.0,   10,6, 1225, 1275,  171,  158,     147,     468,  468,  -0.305
 25,  0.0,   13,1,  900,  950,   13,   15,      18,      38,   38,   0.700
 25,  0.0,   13,2,  950, 1050,   18,   26,      36,     105,  105,   0.669
 25,  0.0,   13,3, 1050, 1125,   36,   32,      29,      97,   97,  -0.278
 25,  0.0,   13,4, 1125, 1175,   29,   60,     122,     129,  129,   2.913
 25,  0.0,   13,5, 1175, 1225,  122,  159,     207,     323,  323,   1.060
 25,  0.0,   13,6, 1225, 1275,  207,  187,     169,     468,  468,  -0.402
 30,  0.0,   15,1,  900,  950,   15,   18,      22,      38,   38,   0.812
 30,  0.0,   15,2,  950, 1050,   22,   31,      43,     105,  105,   0.640
 30,  0.0,   15,3, 1050, 1125,   43,   38,      35,      97,   97,  -0.277
 30,  0.0,   15,4, 1125, 1175,   35,   74,     160,     129,  129,   3.115
 30,  0.0,   15,5, 1175, 1225,  160,  189,     222,     323,  323,   0.657
 30,  0.0,   15,6, 1225, 1275,  222,  220,     218,     468,  468,  -0.043
