Group,Year,OccRm
Formula,925,19
Formula,926,19
Formula,927,19
Formula,928,19
Formula,929,19
Formula,930,19
Formula,931,19
Formula,932,20
Formula,933,20
Formula,934,20
Formula,935,20
Formula,936,20
Formula,937,20
Formula,938,20
Formula,939,20
Formula,940,20
Formula,941,20
Formula,942,20
Formula,943,21
Formula,944,21
Formula,945,21
Formula,946,21
Formula,947,21
Formula,948,21
Formula,949,21
Formula,950,21
Formula,951,21
Formula,952,21
Formula,953,21
Formula,954,22
Formula,955,22
Formula,956,22
Formula,957,22
Formula,958,22
Formula,959,22
Formula,960,22
Formula,961,22
Formula,962,22
Formula,963,22
Formula,964,22
Formula,965,23
Formula,966,23
Formula,967,23
Formula,968,23
Formula,969,23
Formula,970,23
Formula,971,23
Formula,972,23
Formula,973,23
Formula,974,23
Formula,975,24
Formula,976,24
Formula,977,24
Formula,978,24
Formula,979,24
Formula,980,24
Formula,981,24
Formula,982,24
Formula,983,24
Formula,984,25
Formula,985,25
Formula,986,25
Formula,987,25
Formula,988,25
Formula,989,25
Formula,990,25
Formula,991,25
Formula,992,25
Formula,993,25
Formula,994,26
Formula,995,26
Formula,996,26
Formula,997,26
Formula,998,26
Formula,999,26
Formula,1000,26
Formula,1001,26
Formula,1002,26
Formula,1003,26
Formula,1004,27
Formula,1005,27
Formula,1006,27
Formula,1007,27
Formula,1008,27
Formula,1009,27
Formula,1010,27
Formula,1011,27
Formula,1012,27
Formula,1013,27
Formula,1014,27
Formula,1015,27
Formula,1016,27
Formula,1017,27
Formula,1018,27
Formula,1019,27
Formula,1020,28
Formula,1021,28
Formula,1022,28
Formula,1023,28
Formula,1024,28
Formula,1025,28
Formula,1026,28
Formula,1027,28
Formula,1028,28
Formula,1029,28
Formula,1030,28
Formula,1031,28
Formula,1032,28
Formula,1033,28
Formula,1034,28
Formula,1035,29
Formula,1036,29
Formula,1037,29
Formula,1038,29
Formula,1039,29
Formula,1040,29
Formula,1041,29
Formula,1042,29
Formula,1043,29
Formula,1044,29
Formula,1045,29
Formula,1046,29
Formula,1047,29
Formula,1048,29
Formula,1049,29
Formula,1050,30
Formula,1051,30
Formula,1052,30
Formula,1053,30
Formula,1054,30
Formula,1055,30
Formula,1056,30
Formula,1057,30
Formula,1058,30
Formula,1059,30
Formula,1060,30
Formula,1061,30
Formula,1062,30
Formula,1063,31
Formula,1064,31
Formula,1065,31
Formula,1066,31
Formula,1067,31
Formula,1068,31
Formula,1069,31
Formula,1070,31
Formula,1071,31
Formula,1072,31
Formula,1073,31
Formula,1074,31
Formula,1075,31
Formula,1076,31
Formula,1077,32
Formula,1078,32
Formula,1079,32
Formula,1080,32
Formula,1081,32
Formula,1082,32
Formula,1083,32
Formula,1084,32
Formula,1085,32
Formula,1086,32
Formula,1087,32
Formula,1088,32
Formula,1089,33
Formula,1090,33
Formula,1091,33
Formula,1092,34
Formula,1093,34
Formula,1094,35
Formula,1095,35
Formula,1096,35
Formula,1097,36
Formula,1098,36
Formula,1099,37
Formula,1100,37
Formula,1101,37
Formula,1102,38
Formula,1103,38
Formula,1104,39
Formula,1105,39
Formula,1106,39
Formula,1107,40
Formula,1108,40
Formula,1109,41
Formula,1110,41
Formula,1111,42
Formula,1112,42
Formula,1113,43
Formula,1114,43
Formula,1115,44
Formula,1116,44
Formula,1117,45
Formula,1118,45
Formula,1119,46
Formula,1120,46
Formula,1121,47
Formula,1122,47
Formula,1123,48
Formula,1124,48
Formula,1125,49
Formula,1126,49
Formula,1127,50
Formula,1128,50
Formula,1129,51
Formula,1130,51
Formula,1131,52
Formula,1132,53
Formula,1133,53
Formula,1134,54
Formula,1135,54
Formula,1136,55
Formula,1137,56
Formula,1138,56
Formula,1139,57
Formula,1140,57
Formula,1141,58
Formula,1142,59
Formula,1143,59
Formula,1144,60
Formula,1145,61
Formula,1146,61
Formula,1147,62
Formula,1148,63
Formula,1149,63
Formula,1150,65
Formula,1151,66
Formula,1152,67
Formula,1153,68
Formula,1154,69
Formula,1155,71
Formula,1156,72
Formula,1157,73
Formula,1158,75
Formula,1159,76
Formula,1160,77
Formula,1161,79
Formula,1162,80
Formula,1163,82
Formula,1164,83
Formula,1165,85
Formula,1166,87
Formula,1167,88
Formula,1168,90
Formula,1169,91
Formula,1170,93
Formula,1171,95
Formula,1172,97
Formula,1173,98
Formula,1174,100
Formula,1175,102
Formula,1176,104
Formula,1177,106
Formula,1178,108
Formula,1179,110
Formula,1180,112
Formula,1181,114
Formula,1182,116
Formula,1183,118
Formula,1184,120
Formula,1185,123
Formula,1186,125
Formula,1187,127
Formula,1188,130
Formula,1189,132
Formula,1190,134
Formula,1191,137
Formula,1192,139
Formula,1193,142
Formula,1194,145
Formula,1195,147
Formula,1196,150
Formula,1197,153
Formula,1198,156
Formula,1199,159
Formula,1200,162
Formula,1201,163
Formula,1202,164
Formula,1203,165
Formula,1204,166
Formula,1205,168
Formula,1206,169
Formula,1207,170
Formula,1208,171
Formula,1209,173
Formula,1210,174
Formula,1211,175
Formula,1212,177
Formula,1213,178
Formula,1214,179
Formula,1215,181
Formula,1216,182
Formula,1217,183
Formula,1218,185
Formula,1219,186
Formula,1220,187
Formula,1221,189
Formula,1222,190
Formula,1223,192
Formula,1224,193
Formula,1225,194
Formula,1226,196
Formula,1227,197
Formula,1228,199
Formula,1229,200
Formula,1230,202
Formula,1231,203
Formula,1232,205
Formula,1233,206
Formula,1234,208
Formula,1235,209
Formula,1236,211
Formula,1237,212
Formula,1238,214
Formula,1239,216
Formula,1240,217
Formula,1241,219
Formula,1242,221
Formula,1243,222
Formula,1244,224
Formula,1245,225
Formula,1246,227
Formula,1247,229
Formula,1248,231
Formula,1249,232
Formula,1250,234
Simulated,900,13
Simulated,901,13
Simulated,902,13
Simulated,903,13
Simulated,904,13
Simulated,905,13
Simulated,906,14
Simulated,907,14
Simulated,908,14
Simulated,909,14
Simulated,910,14
Simulated,911,14
Simulated,912,14
Simulated,913,14
Simulated,914,14
Simulated,915,14
Simulated,916,15
Simulated,917,15
Simulated,918,15
Simulated,919,15
Simulated,920,15
Simulated,921,15
Simulated,922,15
Simulated,923,15
Simulated,924,15
Simulated,925,15
Simulated,926,16
Simulated,927,16
Simulated,928,16
Simulated,929,16
Simulated,930,16
Simulated,931,16
Simulated,932,16
Simulated,933,16
Simulated,934,16
Simulated,935,17
Simulated,936,17
Simulated,937,17
Simulated,938,17
Simulated,939,17
Simulated,940,17
Simulated,941,17
Simulated,942,17
Simulated,943,18
Simulated,944,18
Simulated,945,18
Simulated,946,18
Simulated,947,18
Simulated,948,18
Simulated,949,18
Simulated,950,18
Simulated,951,19
Simulated,952,19
Simulated,953,19
Simulated,954,19
Simulated,955,19
Simulated,956,19
Simulated,957,19
Simulated,958,19
Simulated,959,20
Simulated,960,20
Simulated,961,20
Simulated,962,20
Simulated,963,20
Simulated,964,20
Simulated,965,20
Simulated,966,20
Simulated,967,21
Simulated,968,21
Simulated,969,21
Simulated,970,21
Simulated,971,21
Simulated,972,21
Simulated,973,21
Simulated,974,22
Simulated,975,22
Simulated,976,22
Simulated,977,22
Simulated,978,22
Simulated,979,22
Simulated,980,22
Simulated,981,23
Simulated,982,23
Simulated,983,23
Simulated,984,23
Simulated,985,23
Simulated,986,23
Simulated,987,24
Simulated,988,24
Simulated,989,24
Simulated,990,24
Simulated,991,24
Simulated,992,24
Simulated,993,25
Simulated,994,25
Simulated,995,25
Simulated,996,25
Simulated,997,25
Simulated,998,25
Simulated,999,26
Simulated,1000,26
Simulated,1001,26
Simulated,1002,26
Simulated,1003,26
Simulated,1004,26
Simulated,1005,27
Simulated,1006,27
Simulated,1007,27
Simulated,1008,27
Simulated,1009,27
Simulated,1010,27
Simulated,1011,28
Simulated,1012,28
Simulated,1013,28
Simulated,1014,28
Simulated,1015,28
Simulated,1016,29
Simulated,1017,29
Simulated,1018,29
Simulated,1019,29
Simulated,1020,29
Simulated,1021,30
Simulated,1022,30
Simulated,1023,30
Simulated,1024,30
Simulated,1025,30
Simulated,1026,31
Simulated,1027,31
Simulated,1028,31
Simulated,1029,31
Simulated,1030,31
Simulated,1031,32
Simulated,1032,32
Simulated,1033,32
Simulated,1034,32
Simulated,1035,32
Simulated,1036,33
Simulated,1037,33
Simulated,1038,33
Simulated,1039,33
Simulated,1040,34
Simulated,1041,34
Simulated,1042,34
Simulated,1043,34
Simulated,1044,35
Simulated,1045,35
Simulated,1046,35
Simulated,1047,35
Simulated,1048,35
Simulated,1049,36
Simulated,1050,36
Simulated,1051,36
Simulated,1052,36
Simulated,1053,36
Simulated,1054,36
Simulated,1055,35
Simulated,1056,35
Simulated,1057,35
Simulated,1058,35
Simulated,1059,35
Simulated,1060,35
Simulated,1061,35
Simulated,1062,35
Simulated,1063,35
Simulated,1064,35
Simulated,1065,34
Simulated,1066,34
Simulated,1067,34
Simulated,1068,34
Simulated,1069,34
Simulated,1070,34
Simulated,1071,34
Simulated,1072,34
Simulated,1073,34
Simulated,1074,34
Simulated,1075,33
Simulated,1076,33
Simulated,1077,33
Simulated,1078,33
Simulated,1079,33
Simulated,1080,33
Simulated,1081,33
Simulated,1082,33
Simulated,1083,33
Simulated,1084,33
Simulated,1085,33
Simulated,1086,32
Simulated,1087,32
Simulated,1088,32
Simulated,1089,32
Simulated,1090,32
Simulated,1091,32
Simulated,1092,32
Simulated,1093,32
Simulated,1094,32
Simulated,1095,32
Simulated,1096,32
Simulated,1097,31
Simulated,1098,31
Simulated,1099,31
Simulated,1100,31
Simulated,1101,31
Simulated,1102,31
Simulated,1103,31
Simulated,1104,31
Simulated,1105,31
Simulated,1106,31
Simulated,1107,31
Simulated,1108,31
Simulated,1109,30
Simulated,1110,30
Simulated,1111,30
Simulated,1112,30
Simulated,1113,30
Simulated,1114,30
Simulated,1115,30
Simulated,1116,30
Simulated,1117,30
Simulated,1118,30
Simulated,1119,30
Simulated,1120,29
Simulated,1121,29
Simulated,1122,29
Simulated,1123,29
Simulated,1124,29
Simulated,1125,29
Simulated,1126,30
Simulated,1127,31
Simulated,1128,32
Simulated,1129,33
Simulated,1130,34
Simulated,1131,35
Simulated,1132,36
Simulated,1133,37
Simulated,1134,38
Simulated,1135,39
Simulated,1136,40
Simulated,1137,41
Simulated,1138,42
Simulated,1139,44
Simulated,1140,45
Simulated,1141,46
Simulated,1142,47
Simulated,1143,49
Simulated,1144,50
Simulated,1145,52
Simulated,1146,53
Simulated,1147,55
Simulated,1148,56
Simulated,1149,58
Simulated,1150,60
Simulated,1151,61
Simulated,1152,63
Simulated,1153,65
Simulated,1154,67
Simulated,1155,69
Simulated,1156,71
Simulated,1157,73
Simulated,1158,75
Simulated,1159,77
Simulated,1160,80
Simulated,1161,82
Simulated,1162,84
Simulated,1163,87
Simulated,1164,89
Simulated,1165,92
Simulated,1166,95
Simulated,1167,97
Simulated,1168,100
Simulated,1169,103
Simulated,1170,106
Simulated,1171,109
Simulated,1172,112
Simulated,1173,116
Simulated,1174,119
Simulated,1175,122
Simulated,1176,124
Simulated,1177,125
Simulated,1178,126
Simulated,1179,128
Simulated,1180,129
Simulated,1181,130
Simulated,1182,132
Simulated,1183,133
Simulated,1184,135
Simulated,1185,136
Simulated,1186,137
Simulated,1187,139
Simulated,1188,140
Simulated,1189,142
Simulated,1190,143
Simulated,1191,145
Simulated,1192,146
Simulated,1193,148
Simulated,1194,150
Simulated,1195,151
Simulated,1196,153
Simulated,1197,154
Simulated,1198,156
Simulated,1199,158
Simulated,1200,159
Simulated,1201,161
Simulated,1202,163
Simulated,1203,164
Simulated,1204,166
Simulated,1205,168
Simulated,1206,170
Simulated,1207,171
Simulated,1208,173
Simulated,1209,175
Simulated,1210,177
Simulated,1211,179
Simulated,1212,181
Simulated,1213,183
Simulated,1214,185
Simulated,1215,186
Simulated,1216,188
Simulated,1217,190
Simulated,1218,192
Simulated,1219,194
Simulated,1220,197
Simulated,1221,199
Simulated,1222,201
Simulated,1223,203
Simulated,1224,205
Simulated,1225,207
Simulated,1226,206
Simulated,1227,205
Simulated,1228,205
Simulated,1229,204
Simulated,1230,203
Simulated,1231,202
Simulated,1232,201
Simulated,1233,201
Simulated,1234,200
Simulated,1235,199
Simulated,1236,198
Simulated,1237,197
Simulated,1238,197
Simulated,1239,196
Simulated,1240,195
Simulated,1241,194
Simulated,1242,194
Simulated,1243,193
Simulated,1244,192
Simulated,1245,191
Simulated,1246,190
Simulated,1247,190
Simulated,1248,189
Simulated,1249,188
Simulated,1250,187
Simulated,1251,187
Simulated,1252,186
Simulated,1253,185
Simulated,1254,184
Simulated,1255,184
Simulated,1256,183
Simulated,1257,182
Simulated,1258,182
Simulated,1259,181
Simulated,1260,180
Simulated,1261,179
Simulated,1262,179
Simulated,1263,178
Simulated,1264,177
Simulated,1265,177
Simulated,1266,176
Simulated,1267,175
Simulated,1268,174
Simulated,1269,174
Simulated,1270,173
Simulated,1271,172
Simulated,1272,172
Simulated,1273,171
Simulated,1274,170
Simulated,1275,170
