Year,OccRm
925,19
926,19
927,19
928,19
929,19
930,19
931,19
932,20
933,20
934,20
935,20
936,20
937,20
938,20
939,20
940,20
941,20
942,20
943,21
944,21
945,21
946,21
947,21
948,21
949,21
950,21
951,21
952,21
953,21
954,22
955,22
956,22
957,22
958,22
959,22
960,22
961,22
962,22
963,22
964,22
965,23
966,23
967,23
968,23
969,23
970,23
971,23
972,23
973,23
974,23
975,24
976,24
977,24
978,24
979,24
980,24
981,24
982,24
983,24
984,25
985,25
986,25
987,25
988,25
989,25
990,25
991,25
992,25
993,25
994,26
995,26
996,26
997,26
998,26
999,26
1000,26
1001,26
1002,26
1003,26
1004,27
1005,27
1006,27
1007,27
1008,27
1009,27
1010,27
1011,27
1012,27
1013,27
1014,27
1015,27
1016,27
1017,27
1018,27
1019,27
1020,28
1021,28
1022,28
1023,28
1024,28
1025,28
1026,28
1027,28
1028,28
1029,28
1030,28
1031,28
1032,28
1033,28
1034,28
1035,29
1036,29
1037,29
1038,29
1039,29
1040,29
1041,29
1042,29
1043,29
1044,29
1045,29
1046,29
1047,29
1048,29
1049,29
1050,30
1051,30
1052,30
1053,30
1054,30
1055,30
1056,30
1057,30
1058,30
1059,30
1060,30
1061,30
1062,30
1063,31
1064,31
1065,31
1066,31
1067,31
1068,31
1069,31
1070,31
1071,31
1072,31
1073,31
1074,31
1075,31
1076,31
1077,32
1078,32
1079,32
1080,32
1081,32
1082,32
1083,32
1084,32
1085,32
1086,32
1087,32
1088,32
1089,33
1090,33
1091,33
1092,34
1093,34
1094,35
1095,35
1096,35
1097,36
1098,36
1099,37
1100,37
1101,37
1102,38
1103,38
1104,39
1105,39
1106,39
1107,40
1108,40
1109,41
1110,41
1111,42
1112,42
1113,43
1114,43
1115,44
1116,44
1117,45
1118,45
1119,46
1120,46
1121,47
1122,47
1123,48
1124,48
1125,49
1126,49
1127,50
1128,50
1129,51
1130,51
1131,52
1132,53
1133,53
1134,54
1135,54
1136,55
1137,56
1138,56
1139,57
1140,57
1141,58
1142,59
1143,59
1144,60
1145,61
1146,61
1147,62
1148,63
1149,63
1150,65
1151,66
1152,67
1153,68
1154,69
1155,71
1156,72
1157,73
1158,75
1159,76
1160,77
1161,79
1162,80
1163,82
1164,83
1165,85
1166,87
1167,88
1168,90
1169,91
1170,93
1171,95
1172,97
1173,98
1174,100
1175,102
1176,104
1177,106
1178,108
1179,110
1180,112
1181,114
1182,116
1183,118
1184,120
1185,123
1186,125
1187,127
1188,130
1189,132
1190,134
1191,137
1192,139
1193,142
1194,145
1195,147
1196,150
1197,153
1198,156
1199,159
1200,162
1201,163
1202,164
1203,165
1204,166
1205,168
1206,169
1207,170
1208,171
1209,173
1210,174
1211,175
1212,177
1213,178
1214,179
1215,181
1216,182
1217,183
1218,185
1219,186
1220,187
1221,189
1222,190
1223,192
1224,193
1225,194
1226,196
1227,197
1228,199
1229,200
1230,202
1231,203
1232,205
1233,206
1234,208
1235,209
1236,211
1237,212
1238,214
1239,216
1240,217
1241,219
1242,221
1243,222
1244,224
1245,225
1246,227
1247,229
1248,231
1249,232
1250,234
