Year,OccRm
1025,41
1026,41.14771342
1027,41.29595902
1028,41.44473871
1029,41.59405442
1030,41.74390808
1031,41.89430163
1032,42.04523701
1033,42.19671618
1034,42.34874109
1035,42.50131371
1036,42.65443601
1037,42.80810998
1038,42.9623376
1039,43.11712086
1040,43.27246178
1041,43.42836235
1042,43.58482459
1043,43.74185053
1044,43.8994422
1045,44.05760163
1046,44.21633088
1047,44.37563199
1048,44.53550702
1049,44.69595805
1050,44.85698714
1051,45.01859639
1052,45.18078787
1053,45.3435637
1054,45.50692596
1055,45.67087679
1056,45.83541828
1057,46.00055259
1058,46.16628183
1059,46.33260816
1060,46.49953372
1061,46.66706068
1062,46.83519119
1063,47.00392745
1064,47.17327162
1065,47.34322589
1066,47.51379247
1067,47.68497357
1068,47.85677139
1069,48.02918815
1070,48.2022261
1071,48.37588746
1072,48.55017448
1073,48.72508941
1074,48.90063453
1075,49.07681209
1076,49.25362438
1077,49.43107368
1078,49.60916229
1079,49.78789251
1080,49.96726665
1081,50.14728704
1082,50.327956
1083,50.50927587
1084,50.69124899
1085,50.87387772
1086,51.05716441
1087,51.24111145
1088,51.09427539
1089,50.85963331
1090,50.62606879
1091,50.39357687
1092,50.16215264
1093,49.93179118
1094,49.70248761
1095,49.47423709
1096,49.24703477
1097,49.02087584
1098,48.79575551
1099,48.57166901
1100,48.34861158
1101,48.12657851
1102,47.90556509
1103,47.68556664
1104,47.4665785
1105,47.24859602
1106,47.0316146
1107,46.81562962
1108,46.60063652
1109,46.38663074
1110,46.17360774
1111,45.96156302
1112,45.75049208
1113,45.54039045
1114,45.33125368
1115,45.12307733
1116,44.915857
1117,44.70958829
1118,44.50426684
1119,44.29988829
1120,44.09644832
1121,43.89394262
1122,43.69236688
1123,43.49171686
1124,43.29198828
1125,43.09317692
1126,42.89527858
1127,42.69828904
1128,42.50220415
1129,42.30701975
1130,42.1127317
1131,41.91933589
1132,41.72682822
1133,41.5352046
1134,41.34446099
1135,41.15459333
1136,40.96559761
1137,40.77746982
1138,40.59020598
1139,40.40380211
1140,40.21825428
1141,40.03355854
1142,39.84971099
1143,39.66670773
1144,39.48454488
1145,39.30321858
1146,39.122725
1147,38.9430603
1148,38.76422068
1149,38.58620236
1150,38.40900155
1151,39.39841147
1152,40.31778769
1153,41.25861789
1154,42.2214027
1155,43.20665445
1156,44.21489741
1157,45.24666808
1158,46.30251549
1159,47.38300148
1160,48.48870101
1161,49.62020244
1162,50.77810786
1163,51.96303343
1164,53.17560966
1165,54.4164818
1166,55.68631015
1167,56.98577039
1168,58.31555402
1169,59.67636862
1170,61.06893833
1171,62.49400416
1172,63.95232442
1173,65.44467511
1174,66.97185034
1175,68.53466276
1176,70.13394398
1177,71.770545
1178,73.4453367
1179,75.15921028
1180,76.91307771
1181,78.70787228
1182,80.54454903
1183,82.4240853
1184,84.34748123
1185,86.3157603
1186,88.32996988
1187,90.39118177
1188,92.50049278
1189,94.65902534
1190,96.86792803
1191,99.12837627
1192,101.4415729
1193,103.8087488
1194,106.2311636
1195,108.7101063
1196,111.2468961
1197,113.8428828
1198,116.4994477
1199,119.2180046
1200,122
1201,124.1052838
1202,126.2468972
1203,128.4254673
1204,130.6416317
1205,132.8960391
1206,135.1893496
1207,137.5222344
1208,139.8953764
1209,142.3094704
1210,144.7652231
1211,147.2633532
1212,149.8045921
1213,152.3896838
1214,155.0193848
1215,157.6944652
1216,160.4157078
1217,163.1839093
1218,165.9998801
1219,168.8644445
1220,171.7784411
1221,174.7427228
1222,177.7581574
1223,180.8256276
1224,183.9460314
1225,187.1202822
1226,190.3493092
1227,193.6340577
1228,196.9754892
1229,200.3745818
1230,203.8323307
1231,207.3497479
1232,210.9278631
1233,214.5677239
1234,218.2703956
1235,222.0369622
1236,225.8685263
1237,229.7662094
1238,233.7311527
1239,237.7645167
1240,241.8674821
1241,246.04125
1242,250.2870423
1243,254.6061017
1244,258.9996927
1245,263.4691013
1246,268.015636
1247,272.6406276
1248,277.34543
1249,282.1314204
1250,287
