UseLife,UseSD,InitRm,Rate,Year,OccRm
25,0,13,-0.408,901,13
25,0,13,-0.408,902,13
25,0,13,-0.408,903,13
25,0,13,-0.408,904,13
25,0,13,-0.408,905,13
25,0,13,-0.408,906,14
25,0,13,-0.408,907,14
25,0,13,-0.408,908,14
25,0,13,-0.408,909,14
25,0,13,-0.408,910,14
25,0,13,-0.408,911,14
25,0,13,-0.408,912,14
25,0,13,-0.408,913,14
25,0,13,-0.408,914,14
25,0,13,-0.408,915,14
25,0,13,-0.408,916,15
25,0,13,-0.408,917,15
25,0,13,-0.408,918,15
25,0,13,-0.408,919,15
25,0,13,-0.408,920,15
25,0,13,-0.408,921,15
25,0,13,-0.408,922,15
25,0,13,-0.408,923,15
25,0,13,-0.408,924,15
25,0,13,-0.408,925,16
25,0,13,-0.408,926,16
25,0,13,-0.408,927,16
25,0,13,-0.408,928,16
25,0,13,-0.408,929,16
25,0,13,-0.408,930,16
25,0,13,-0.408,931,16
25,0,13,-0.408,932,16
25,0,13,-0.408,933,16
25,0,13,-0.408,934,17
25,0,13,-0.408,935,17
25,0,13,-0.408,936,17
25,0,13,-0.408,937,17
25,0,13,-0.408,938,17
25,0,13,-0.408,939,17
25,0,13,-0.408,940,17
25,0,13,-0.408,941,17
25,0,13,-0.408,942,17
25,0,13,-0.408,943,18
25,0,13,-0.408,944,18
25,0,13,-0.408,945,18
25,0,13,-0.408,946,18
25,0,13,-0.408,947,18
25,0,13,-0.408,948,18
25,0,13,-0.408,949,18
25,0,13,-0.408,950,18
25,0,13,-0.408,951,19
25,0,13,-0.408,952,19
25,0,13,-0.408,953,19
25,0,13,-0.408,954,19
25,0,13,-0.408,955,19
25,0,13,-0.408,956,19
25,0,13,-0.408,957,19
25,0,13,-0.408,958,20
25,0,13,-0.408,959,20
25,0,13,-0.408,960,20
25,0,13,-0.408,961,20
25,0,13,-0.408,962,20
25,0,13,-0.408,963,20
25,0,13,-0.408,964,20
25,0,13,-0.408,965,20
25,0,13,-0.408,966,21
25,0,13,-0.408,967,21
25,0,13,-0.408,968,21
25,0,13,-0.408,969,21
25,0,13,-0.408,970,21
25,0,13,-0.408,971,21
25,0,13,-0.408,972,21
25,0,13,-0.408,973,22
25,0,13,-0.408,974,22
25,0,13,-0.408,975,22
25,0,13,-0.408,976,22
25,0,13,-0.408,977,22
25,0,13,-0.408,978,22
25,0,13,-0.408,979,22
25,0,13,-0.408,980,23
25,0,13,-0.408,981,23
25,0,13,-0.408,982,23
25,0,13,-0.408,983,23
25,0,13,-0.408,984,23
25,0,13,-0.408,985,23
25,0,13,-0.408,986,23
25,0,13,-0.408,987,24
25,0,13,-0.408,988,24
25,0,13,-0.408,989,24
25,0,13,-0.408,990,24
25,0,13,-0.408,991,24
25,0,13,-0.408,992,24
25,0,13,-0.408,993,25
25,0,13,-0.408,994,25
25,0,13,-0.408,995,25
25,0,13,-0.408,996,25
25,0,13,-0.408,997,25
25,0,13,-0.408,998,25
25,0,13,-0.408,999,26
25,0,13,-0.408,1000,26
25,0,13,-0.408,1001,26
25,0,13,-0.408,1002,26
25,0,13,-0.408,1003,26
25,0,13,-0.408,1004,26
25,0,13,-0.408,1005,27
25,0,13,-0.408,1006,27
25,0,13,-0.408,1007,27
25,0,13,-0.408,1008,27
25,0,13,-0.408,1009,27
25,0,13,-0.408,1010,27
25,0,13,-0.408,1011,28
25,0,13,-0.408,1012,28
25,0,13,-0.408,1013,28
25,0,13,-0.408,1014,28
25,0,13,-0.408,1015,28
25,0,13,-0.408,1016,29
25,0,13,-0.408,1017,29
25,0,13,-0.408,1018,29
25,0,13,-0.408,1019,29
25,0,13,-0.408,1020,29
25,0,13,-0.408,1021,30
25,0,13,-0.408,1022,30
25,0,13,-0.408,1023,30
25,0,13,-0.408,1024,30
25,0,13,-0.408,1025,30
25,0,13,-0.408,1026,31
25,0,13,-0.408,1027,31
25,0,13,-0.408,1028,31
25,0,13,-0.408,1029,31
25,0,13,-0.408,1030,31
25,0,13,-0.408,1031,32
25,0,13,-0.408,1032,32
25,0,13,-0.408,1033,32
25,0,13,-0.408,1034,32
25,0,13,-0.408,1035,32
25,0,13,-0.408,1036,33
25,0,13,-0.408,1037,33
25,0,13,-0.408,1038,33
25,0,13,-0.408,1039,33
25,0,13,-0.408,1040,33
25,0,13,-0.408,1041,34
25,0,13,-0.408,1042,34
25,0,13,-0.408,1043,34
25,0,13,-0.408,1044,34
25,0,13,-0.408,1045,35
25,0,13,-0.408,1046,35
25,0,13,-0.408,1047,35
25,0,13,-0.408,1048,35
25,0,13,-0.408,1049,36
25,0,13,-0.408,1050,36
25,0,13,-0.408,1051,36
25,0,13,-0.408,1052,36
25,0,13,-0.408,1053,35
25,0,13,-0.408,1054,35
25,0,13,-0.408,1055,35
25,0,13,-0.408,1056,35
25,0,13,-0.408,1057,35
25,0,13,-0.408,1058,35
25,0,13,-0.408,1059,35
25,0,13,-0.408,1060,35
25,0,13,-0.408,1061,35
25,0,13,-0.408,1062,35
25,0,13,-0.408,1063,35
25,0,13,-0.408,1064,34
25,0,13,-0.408,1065,34
25,0,13,-0.408,1066,34
25,0,13,-0.408,1067,34
25,0,13,-0.408,1068,34
25,0,13,-0.408,1069,34
25,0,13,-0.408,1070,34
25,0,13,-0.408,1071,34
25,0,13,-0.408,1072,34
25,0,13,-0.408,1073,34
25,0,13,-0.408,1074,34
25,0,13,-0.408,1075,33
25,0,13,-0.408,1076,33
25,0,13,-0.408,1077,33
25,0,13,-0.408,1078,33
25,0,13,-0.408,1079,33
25,0,13,-0.408,1080,33
25,0,13,-0.408,1081,33
25,0,13,-0.408,1082,33
25,0,13,-0.408,1083,33
25,0,13,-0.408,1084,33
25,0,13,-0.408,1085,33
25,0,13,-0.408,1086,32
25,0,13,-0.408,1087,32
25,0,13,-0.408,1088,32
25,0,13,-0.408,1089,32
25,0,13,-0.408,1090,32
25,0,13,-0.408,1091,32
25,0,13,-0.408,1092,32
25,0,13,-0.408,1093,32
25,0,13,-0.408,1094,32
25,0,13,-0.408,1095,32
25,0,13,-0.408,1096,32
25,0,13,-0.408,1097,32
25,0,13,-0.408,1098,31
25,0,13,-0.408,1099,31
25,0,13,-0.408,1100,31
25,0,13,-0.408,1101,31
25,0,13,-0.408,1102,31
25,0,13,-0.408,1103,31
25,0,13,-0.408,1104,31
25,0,13,-0.408,1105,31
25,0,13,-0.408,1106,31
25,0,13,-0.408,1107,31
25,0,13,-0.408,1108,31
25,0,13,-0.408,1109,31
25,0,13,-0.408,1110,30
25,0,13,-0.408,1111,30
25,0,13,-0.408,1112,30
25,0,13,-0.408,1113,30
25,0,13,-0.408,1114,30
25,0,13,-0.408,1115,30
25,0,13,-0.408,1116,30
25,0,13,-0.408,1117,30
25,0,13,-0.408,1118,30
