UseLife,UseSD,InitRm,Year,OccRm
 25,  0.0,   27, 1000,0
 25,  0.0,   27, 1001,27
 25,  0.0,   27, 1002,27
 25,  0.0,   27, 1003,28
 25,  0.0,   27, 1004,28
 25,  0.0,   27, 1005,28
 25,  0.0,   27, 1006,28
 25,  0.0,   27, 1007,29
 25,  0.0,   27, 1008,29
 25,  0.0,   27, 1009,29
 25,  0.0,   27, 1010,29
 25,  0.0,   27, 1011,30
 25,  0.0,   27, 1012,30
 25,  0.0,   27, 1013,30
 25,  0.0,   27, 1014,31
 25,  0.0,   27, 1015,31
 25,  0.0,   27, 1016,31
 25,  0.0,   27, 1017,31
 25,  0.0,   27, 1018,32
 25,  0.0,   27, 1019,32
 25,  0.0,   27, 1020,32
 25,  0.0,   27, 1021,32
 25,  0.0,   27, 1022,33
 25,  0.0,   27, 1023,33
 25,  0.0,   27, 1024,33
 25,  0.0,   27, 1025,34
 25,  0.0,   27, 1026,34
 25,  0.0,   27, 1027,34
 25,  0.0,   27, 1028,34
 25,  0.0,   27, 1029,35
 25,  0.0,   27, 1030,35
 25,  0.0,   27, 1031,35
 25,  0.0,   27, 1032,36
 25,  0.0,   27, 1033,36
 25,  0.0,   27, 1034,36
 25,  0.0,   27, 1035,37
 25,  0.0,   27, 1036,37
 25,  0.0,   27, 1037,37
 25,  0.0,   27, 1038,38
 25,  0.0,   27, 1039,38
 25,  0.0,   27, 1040,38
 25,  0.0,   27, 1041,39
 25,  0.0,   27, 1042,39
 25,  0.0,   27, 1043,39
 25,  0.0,   27, 1044,40
 25,  0.0,   27, 1045,40
 25,  0.0,   27, 1046,40
 25,  0.0,   27, 1047,41
 25,  0.0,   27, 1048,41
 25,  0.0,   27, 1049,41
 25,  0.0,   27, 1050,42
 25,  0.0,   27, 1051,42
 25,  0.0,   27, 1052,42
 25,  0.0,   27, 1053,42
 25,  0.0,   27, 1054,43
 25,  0.0,   27, 1055,43
 25,  0.0,   27, 1056,43
 25,  0.0,   27, 1057,43
 25,  0.0,   27, 1058,44
 25,  0.0,   27, 1059,44
 25,  0.0,   27, 1060,44
 25,  0.0,   27, 1061,44
 25,  0.0,   27, 1062,45
 25,  0.0,   27, 1063,45
 25,  0.0,   27, 1064,45
 25,  0.0,   27, 1065,45
 25,  0.0,   27, 1066,45
 25,  0.0,   27, 1067,46
 25,  0.0,   27, 1068,46
 25,  0.0,   27, 1069,46
 25,  0.0,   27, 1070,46
 25,  0.0,   27, 1071,47
 25,  0.0,   27, 1072,47
 25,  0.0,   27, 1073,47
 25,  0.0,   27, 1074,47
 25,  0.0,   27, 1075,48
 25,  0.0,   27, 1076,48
 25,  0.0,   27, 1077,48
 25,  0.0,   27, 1078,48
 25,  0.0,   27, 1079,49
 25,  0.0,   27, 1080,49
 25,  0.0,   27, 1081,49
 25,  0.0,   27, 1082,49
 25,  0.0,   27, 1083,50
 25,  0.0,   27, 1084,50
 25,  0.0,   27, 1085,50
 25,  0.0,   27, 1086,51
 25,  0.0,   27, 1087,51
 25,  0.0,   27, 1088,51
 25,  0.0,   27, 1089,51
 25,  0.0,   27, 1090,52
 25,  0.0,   27, 1091,52
 25,  0.0,   27, 1092,52
 25,  0.0,   27, 1093,52
 25,  0.0,   27, 1094,53
 25,  0.0,   27, 1095,53
 25,  0.0,   27, 1096,53
 25,  0.0,   27, 1097,54
 25,  0.0,   27, 1098,54
 25,  0.0,   27, 1099,54
 25,  0.0,   27, 1100,54
 25,  0.0,   27, 1101,55
 25,  0.0,   27, 1102,55
 25,  0.0,   27, 1103,55
 25,  0.0,   27, 1104,56
 25,  0.0,   27, 1105,56
 25,  0.0,   27, 1106,56
 25,  0.0,   27, 1107,56
 25,  0.0,   27, 1108,57
 25,  0.0,   27, 1109,57
 25,  0.0,   27, 1110,57
 25,  0.0,   27, 1111,58
 25,  0.0,   27, 1112,58
 25,  0.0,   27, 1113,58
 25,  0.0,   27, 1114,59
 25,  0.0,   27, 1115,59
 25,  0.0,   27, 1116,59
 25,  0.0,   27, 1117,59
 25,  0.0,   27, 1118,60
 25,  0.0,   27, 1119,60
 25,  0.0,   27, 1120,60
 25,  0.0,   27, 1121,61
 25,  0.0,   27, 1122,61
 25,  0.0,   27, 1123,61
 25,  0.0,   27, 1124,62
 25,  0.0,   27, 1125,62
 25,  0.0,   27, 1126,61
 25,  0.0,   27, 1127,60
 25,  0.0,   27, 1128,58
 25,  0.0,   27, 1129,57
 25,  0.0,   27, 1130,56
 25,  0.0,   27, 1131,55
 25,  0.0,   27, 1132,54
 25,  0.0,   27, 1133,53
 25,  0.0,   27, 1134,52
 25,  0.0,   27, 1135,51
 25,  0.0,   27, 1136,50
 25,  0.0,   27, 1137,49
 25,  0.0,   27, 1138,48
 25,  0.0,   27, 1139,47
 25,  0.0,   27, 1140,46
 25,  0.0,   27, 1141,45
 25,  0.0,   27, 1142,44
 25,  0.0,   27, 1143,43
 25,  0.0,   27, 1144,42
 25,  0.0,   27, 1145,42
 25,  0.0,   27, 1146,41
 25,  0.0,   27, 1147,40
 25,  0.0,   27, 1148,39
 25,  0.0,   27, 1149,38
 25,  0.0,   27, 1150,38
 25,  0.0,   27, 1151,37
 25,  0.0,   27, 1152,36
 25,  0.0,   27, 1153,36
 25,  0.0,   27, 1154,35
 25,  0.0,   27, 1155,34
 25,  0.0,   27, 1156,33
 25,  0.0,   27, 1157,33
 25,  0.0,   27, 1158,32
 25,  0.0,   27, 1159,32
 25,  0.0,   27, 1160,31
 25,  0.0,   27, 1161,30
 25,  0.0,   27, 1162,30
 25,  0.0,   27, 1163,29
 25,  0.0,   27, 1164,29
 25,  0.0,   27, 1165,28
 25,  0.0,   27, 1166,27
 25,  0.0,   27, 1167,27
 25,  0.0,   27, 1168,26
 25,  0.0,   27, 1169,26
 25,  0.0,   27, 1170,25
 25,  0.0,   27, 1171,25
 25,  0.0,   27, 1172,24
 25,  0.0,   27, 1173,24
 25,  0.0,   27, 1174,23
 25,  0.0,   27, 1175,23
 25,  0.0,   27, 1176,24
 25,  0.0,   27, 1177,26
 25,  0.0,   27, 1178,27
 25,  0.0,   27, 1179,29
 25,  0.0,   27, 1180,30
 25,  0.0,   27, 1181,32
 25,  0.0,   27, 1182,34
 25,  0.0,   27, 1183,36
 25,  0.0,   27, 1184,38
 25,  0.0,   27, 1185,40
 25,  0.0,   27, 1186,43
 25,  0.0,   27, 1187,45
 25,  0.0,   27, 1188,48
 25,  0.0,   27, 1189,51
 25,  0.0,   27, 1190,54
 25,  0.0,   27, 1191,57
 25,  0.0,   27, 1192,60
 25,  0.0,   27, 1193,63
 25,  0.0,   27, 1194,67
 25,  0.0,   27, 1195,71
 25,  0.0,   27, 1196,75
 25,  0.0,   27, 1197,79
 25,  0.0,   27, 1198,84
 25,  0.0,   27, 1199,89
 25,  0.0,   27, 1200,94
 25,  0.0,   27, 1201,100
 25,  0.0,   27, 1202,105
 25,  0.0,   27, 1203,112
 25,  0.0,   27, 1204,118
 25,  0.0,   27, 1205,125
 25,  0.0,   27, 1206,132
 25,  0.0,   27, 1207,140
 25,  0.0,   27, 1208,148
 25,  0.0,   27, 1209,157
 25,  0.0,   27, 1210,166
 25,  0.0,   27, 1211,175
 25,  0.0,   27, 1212,185
 25,  0.0,   27, 1213,196
 25,  0.0,   27, 1214,208
 25,  0.0,   27, 1215,220
 25,  0.0,   27, 1216,232
 25,  0.0,   27, 1217,246
 25,  0.0,   27, 1218,260
 25,  0.0,   27, 1219,275
 25,  0.0,   27, 1220,291
 25,  0.0,   27, 1221,308
 25,  0.0,   27, 1222,326
 25,  0.0,   27, 1223,345
 25,  0.0,   27, 1224,365
 25,  0.0,   27, 1225,387
 25,  0.0,   27, 1226,377
 25,  0.0,   27, 1227,368
 25,  0.0,   27, 1228,359
 25,  0.0,   27, 1229,350
 25,  0.0,   27, 1230,342
 25,  0.0,   27, 1231,334
 25,  0.0,   27, 1232,326
 25,  0.0,   27, 1233,318
 25,  0.0,   27, 1234,310
 25,  0.0,   27, 1235,303
 25,  0.0,   27, 1236,295
 25,  0.0,   27, 1237,288
 25,  0.0,   27, 1238,281
 25,  0.0,   27, 1239,274
 25,  0.0,   27, 1240,268
 25,  0.0,   27, 1241,261
 25,  0.0,   27, 1242,255
 25,  0.0,   27, 1243,249
 25,  0.0,   27, 1244,243
 25,  0.0,   27, 1245,237
 25,  0.0,   27, 1246,231
 25,  0.0,   27, 1247,226
 25,  0.0,   27, 1248,220
 25,  0.0,   27, 1249,215
 25,  0.0,   27, 1250,210
 25,  0.0,   27, 1251,205
 25,  0.0,   27, 1252,200
 25,  0.0,   27, 1253,195
 25,  0.0,   27, 1254,190
 25,  0.0,   27, 1255,185
 25,  0.0,   27, 1256,181
 25,  0.0,   27, 1257,177
 25,  0.0,   27, 1258,172
 25,  0.0,   27, 1259,168
 25,  0.0,   27, 1260,164
 25,  0.0,   27, 1261,160
 25,  0.0,   27, 1262,156
 25,  0.0,   27, 1263,152
 25,  0.0,   27, 1264,149
 25,  0.0,   27, 1265,145
 25,  0.0,   27, 1266,142
 25,  0.0,   27, 1267,138
 25,  0.0,   27, 1268,135
 25,  0.0,   27, 1269,132
 25,  0.0,   27, 1270,128
